Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
SMYD3	64754	3	Yes	Yes	No	Yes	Yes	No	No	No	No
VAV2	7410	2	Yes	Yes	No	No	Yes	No	No	No	No
HIST1H2BK	85236	3	Yes	No	No	No	Yes	No	Yes	No	No
PMAIP1	5366	3	Yes	No	Yes	Yes	Yes	No	No	No	No
HSP90AA1	3320	2	No	No	No	No	No	No	Yes	No	Yes
PML	5371	2	No	No	No	No	No	No	Yes	No	Yes
CREB3L2	64764	2	No	No	No	No	No	No	Yes	No	Yes
COL1A1	1277	2	No	No	No	No	No	No	Yes	No	Yes
VEGFA	7422	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
HSP90AB1	3326	2	No	No	No	No	No	No	Yes	No	Yes
COL2A1	1280	1	No	No	No	No	No	No	No	No	Yes
COL3A1	1281	1	No	No	No	No	No	No	No	No	Yes
PMS1	5378	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ATG5	9474	1	No	No	No	No	No	No	Yes	No	No
VHL	7428	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MAPKAP1	79109	3	Yes	No	No	Yes	Yes	No	No	No	No
EZR	7430	2	No	No	No	No	No	Yes	No	No	Yes
DNAJB1	3337	4	Yes	No	No	Yes	Yes	No	No	No	Yes
RBM15	64783	3	Yes	Yes	Yes	No	No	No	Yes	No	Yes
CRTC3	64784	1	No	No	No	No	No	No	No	No	Yes
PMS2	5395	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
PRRX1	5396	2	No	No	No	No	No	No	Yes	No	Yes
A1CF	29974	1	No	No	No	No	No	No	No	No	Yes
MAGED1	9500	1	No	No	No	No	No	No	Yes	No	No
WAS	7454	1	No	No	No	No	No	No	No	No	Yes
KLF6	1316	1	No	No	No	No	No	No	No	No	Yes
SEPTIN5	5413	2	No	No	No	No	No	No	Yes	No	Yes
CHCHD7	79145	1	No	No	No	No	No	No	No	No	Yes
TNC	3371	1	No	No	No	No	No	No	No	No	Yes
WHSC1	7468	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
POLD1	5424	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
FAT3	120114	1	No	No	No	No	No	No	No	No	Yes
POLE	5426	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
POLG	5428	1	No	No	No	No	No	No	No	No	Yes
POT1	25913	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
RMI2	116028	1	No	No	No	No	No	No	No	No	Yes
TLX3	30012	3	Yes	Yes	No	No	No	No	Yes	No	Yes
WRN	7486	1	No	No	No	No	No	No	No	No	Yes
COX6C	1345	1	No	No	No	No	No	No	No	No	Yes
IRF8	3394	3	Yes	No	Yes	No	Yes	No	Yes	No	No
WT1	7490	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ZNF521	25925	2	No	No	No	No	No	No	Yes	No	Yes
XBP1	7494	3	Yes	Yes	No	No	Yes	No	Yes	No	No
ID3	3399	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
ISX	91464	1	No	No	No	No	No	No	No	No	Yes
RICTOR	253260	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
POU2AF1	5450	2	No	No	No	No	No	No	Yes	No	Yes
WWTR1	25937	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
SAMHD1	25939	2	Yes	No	Yes	No	Yes	No	No	No	No
XPA	7507	1	No	No	No	No	No	No	No	No	Yes
CHST11	50515	1	No	No	No	No	No	No	No	No	Yes
XPC	7508	1	No	No	No	No	No	No	No	No	Yes
POU5F1	5460	1	No	No	No	No	No	No	No	No	Yes
IDH1	3417	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
XPO1	7514	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
IDH2	3418	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
XRCC2	7516	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
PPARG	5468	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
CPS1	1373	1	No	No	No	No	No	No	Yes	No	No
YES1	7525	3	Yes	Yes	No	Yes	Yes	No	No	No	No
YY1	7528	1	Yes	Yes	No	No	No	No	No	No	No
ADGRA2	25960	1	No	No	No	No	No	No	Yes	No	No
CREB1	1385	2	Yes	Yes	No	No	No	No	No	No	Yes
CREBBP	1387	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
YWHAE	7531	1	No	No	No	No	No	No	No	No	Yes
APOBEC3B	9582	1	No	No	No	No	No	No	No	No	Yes
CRKL	1399	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
TIPARP	25976	1	No	No	No	No	No	Yes	No	No	No
PPP1CB	5500	1	No	No	No	No	No	No	Yes	No	No
IFNGR1	3459	3	Yes	No	No	Yes	Yes	No	No	No	No
CNBP	7555	1	No	No	No	No	No	No	No	No	Yes
NCOR1	9611	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
NCOR2	9612	4	Yes	No	No	No	Yes	No	Yes	No	Yes
PPP2R1A	5518	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PPP2R2A	5520	1	No	No	No	No	No	Yes	No	No	No
ZNF24	7572	1	No	No	No	No	No	No	Yes	No	No
TCL1B	9623	1	Yes	Yes	No	No	No	No	No	No	No
IGF1	3479	3	Yes	Yes	No	Yes	Yes	No	No	No	No
BCL11B	64919	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
IGF1R	3480	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
IGF2	3481	3	Yes	Yes	No	Yes	Yes	No	No	No	No
SNCAIP	9627	1	No	No	No	No	No	Yes	No	No	No
CSF1	1435	1	No	No	No	No	No	No	Yes	No	No
CSF1R	1436	7	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes
CSF3R	1441	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PPP6C	5537	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
IGH	3492	2	No	No	No	No	No	No	Yes	No	Yes
SLC45A3	85414	1	No	No	No	No	No	No	No	No	Yes
ARHGEF10	9639	1	No	No	No	No	No	No	No	No	Yes
IKBKE	9641	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CCNB3	85417	1	Yes	Yes	No	No	No	No	No	No	No
PRCC	5546	1	No	No	No	No	No	No	No	No	Yes
CTR9	9646	2	Yes	No	No	Yes	No	No	No	No	No
PRF1	5551	1	No	No	No	No	No	No	No	No	Yes
IL21R	50615	2	No	No	No	No	No	No	Yes	No	Yes
SS18L1	26039	1	No	No	No	No	No	No	No	No	Yes
MDC1	9656	3	Yes	No	No	Yes	Yes	No	No	No	No
SETBP1	26040	5	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes
PDE4DIP	9659	2	No	No	No	No	No	No	Yes	No	Yes
PRKACA	5566	2	Yes	Yes	No	No	No	No	No	No	Yes
CNTNAP2	26047	1	No	No	No	No	No	No	No	No	Yes
PRKAR1A	5573	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
PRKCB	5579	1	No	No	No	No	No	No	No	No	Yes
IGL	3535	2	No	No	No	No	No	No	Yes	No	Yes
PRKCI	5584	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
LSM14A	26065	1	No	No	No	No	No	No	No	No	Yes
FEV	54738	3	Yes	No	No	No	No	No	Yes	No	Yes
PRKD1	5587	3	Yes	No	No	Yes	Yes	No	No	No	No
CTLA4	1493	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CTNNA1	1495	2	No	No	No	No	No	Yes	Yes	No	No
PRKDC	5591	1	No	No	No	No	No	No	Yes	No	No
NUP93	9688	4	Yes	No	No	Yes	Yes	No	Yes	No	No
SLFN11	91607	2	Yes	No	Yes	Yes	No	No	No	No	No
CTNNA2	1496	1	No	No	No	No	No	No	No	No	Yes
ARID3C	138715	2	Yes	No	No	No	Yes	No	No	No	No
MAPK1	5594	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
FCRL4	83417	2	No	No	No	No	No	No	Yes	No	Yes
CTNNB1	1499	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MAPK3	5595	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CTNND1	1500	1	No	No	No	No	No	No	No	No	Yes
CTNND2	1501	1	No	No	No	No	No	No	No	No	Yes
IKBKB	3551	1	No	No	No	No	No	No	No	No	Yes
MAP2K1	5604	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MAP2K2	5605	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
IL2	3558	1	No	No	No	No	No	No	No	No	Yes
IL3	3562	2	Yes	Yes	No	No	No	No	Yes	No	No
HERPUD1	9709	2	No	No	No	No	No	No	Yes	No	Yes
CUX1	1523	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
FAM131B	9715	1	No	No	No	No	No	No	No	No	Yes
IL6ST	3572	1	No	No	No	No	No	No	No	No	Yes
IL7R	3575	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
IL10	3586	3	Yes	No	No	Yes	Yes	No	No	No	No
CYLD	1540	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
TET2	54790	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SETD1A	9739	2	Yes	Yes	No	No	Yes	No	No	No	No
PRSS1	5644	1	Yes	No	No	No	No	No	No	No	No
RELN	5649	2	Yes	No	No	No	No	No	Yes	No	No
PRSS8	5652	1	No	No	No	No	No	No	Yes	No	No
CYP2C8	1558	1	No	No	No	No	No	No	No	No	Yes
ZBTB16	7704	2	No	No	No	No	No	No	Yes	No	Yes
KMT2B	9757	3	Yes	No	Yes	Yes	Yes	No	No	No	No
HDAC4	9759	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
INHA	3623	3	Yes	No	Yes	Yes	Yes	No	No	No	No
INHBA	3624	4	Yes	No	No	Yes	Yes	No	Yes	No	No
BCLAF1	9774	1	No	No	No	No	No	No	No	No	Yes
INPP4A	3631	3	Yes	No	No	Yes	Yes	No	No	No	No
CYP17A1	1586	1	No	No	No	No	No	Yes	No	No	No
INPP5D	3635	1	No	No	No	No	No	No	Yes	No	No
INPPL1	3636	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CYP19A1	1588	1	No	No	No	Yes	No	No	No	No	No
INSR	3643	3	Yes	Yes	No	Yes	Yes	No	No	No	No
BCORL1	63035	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
EIF3E	3646	1	No	No	No	No	No	No	No	No	Yes
ZMYM2	7750	2	No	No	No	No	No	No	Yes	No	Yes
FAM46C	54855	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
IRF1	3659	3	Yes	No	Yes	No	Yes	No	Yes	No	No
IRF2	3660	1	No	No	No	No	No	Yes	No	No	No
IRF4	3662	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
DAXX	1616	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NUF2	83540	3	Yes	Yes	No	Yes	Yes	No	No	No	No
IRS1	3667	3	Yes	Yes	No	Yes	Yes	No	No	No	No
ZNF217	7764	2	No	No	No	No	No	Yes	Yes	No	No
SIRPA	140885	1	No	No	No	No	No	No	No	No	Yes
KEAP1	9817	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
DCC	1630	1	No	No	No	No	No	No	No	No	Yes
PTCH1	5727	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTEN	5728	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BCOR	54880	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ITGAV	3685	1	No	No	No	No	No	No	No	No	Yes
DCTN1	1639	1	No	No	No	No	No	No	No	No	Yes
DDB2	1643	1	No	No	No	No	No	No	No	No	Yes
DUSP22	56940	3	Yes	No	Yes	No	Yes	No	Yes	No	No
RNF43	54894	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DDIT3	1649	3	Yes	No	No	No	No	No	Yes	No	Yes
EMSY	56946	2	No	No	No	No	No	Yes	Yes	No	No
IGK	50802	2	No	No	No	No	No	No	Yes	No	Yes
DDX3X	1654	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
GAB2	9846	1	No	No	No	Yes	No	No	No	No	No
ITK	3702	2	No	No	No	No	No	No	Yes	No	Yes
PRDM2	7799	1	No	No	No	No	No	No	No	No	Yes
DDX5	1655	1	No	No	No	No	No	No	No	No	Yes
WHSC1L1	54904	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
DDX6	1656	2	No	No	No	No	No	No	Yes	No	Yes
PTK6	5753	1	No	No	No	No	No	No	No	No	Yes
PTK7	5754	1	No	No	No	No	No	No	Yes	No	No
PTP4A1	7803	3	Yes	No	No	Yes	Yes	No	No	No	No
MSI2	124540	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
DDX10	1662	2	No	No	No	No	No	No	Yes	No	Yes
CSDE1	7812	3	Yes	No	No	Yes	Yes	No	No	No	No
JAK1	3716	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
JAK2	3717	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
JAK3	3718	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
JARID2	3720	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
PTPN1	5770	2	Yes	Yes	Yes	No	Yes	No	No	No	No
PTPN2	5771	3	Yes	No	Yes	No	Yes	No	Yes	No	No
BCL2L12	83596	1	No	No	No	No	No	No	No	No	Yes
SETDB1	9869	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes
JUN	3725	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
PTPN6	5777	2	No	No	No	No	No	No	Yes	No	Yes
PTPN11	5781	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
PTPN13	5783	1	No	No	No	No	No	No	No	No	Yes
BTG2	7832	2	No	No	No	No	No	Yes	Yes	No	No
PTPRB	5787	1	No	No	No	No	No	No	No	No	Yes
PTPRC	5788	1	No	No	No	No	No	No	No	No	Yes
PTPRD	5789	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PTPRK	5796	1	No	No	No	No	No	No	No	No	Yes
SDHAF2	54949	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PTPRO	5800	2	No	No	No	No	No	Yes	Yes	No	No
CANT1	124583	1	No	No	No	No	No	No	No	No	Yes
PAX8	7849	2	Yes	Yes	No	No	No	No	No	No	Yes
PTPRS	5802	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CXCR4	7852	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SRGAP3	9901	1	No	No	No	No	No	No	No	No	Yes
ACKR3	57007	1	No	No	No	No	No	No	No	No	Yes
KCNJ5	3762	1	No	No	No	No	No	No	No	No	Yes
EXOSC6	118460	1	No	No	No	No	No	No	Yes	No	No
NADK	65220	1	No	No	No	Yes	No	No	No	No	No
FIP1L1	81608	1	No	No	No	No	No	No	No	No	Yes
MAFB	9935	3	Yes	Yes	No	No	No	No	Yes	No	Yes
KDR	3791	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
KEL	3792	1	No	No	No	No	No	Yes	No	No	No
SESN2	83667	3	Yes	No	Yes	Yes	Yes	No	No	No	No
KIF5B	3799	2	No	No	No	No	No	No	Yes	No	Yes
CDC73	79577	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GOLGA5	9950	1	No	No	No	No	No	No	No	No	Yes
TET3	200424	2	Yes	No	Yes	No	Yes	No	No	No	No
KIT	3815	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
DEK	7913	3	Yes	Yes	No	No	No	No	Yes	No	Yes
KLK2	3817	1	No	No	No	No	No	No	No	No	Yes
FGF19	9965	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
THRAP3	9967	1	No	No	No	No	No	No	No	No	Yes
MED12	9968	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
WNK2	65268	1	No	No	No	No	No	No	No	No	Yes
PGBD5	79605	2	Yes	Yes	No	Yes	No	No	No	No	No
RAC1	5879	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
RAC2	5880	3	Yes	Yes	No	Yes	Yes	No	No	No	No
DNM2	1785	2	No	No	No	No	No	No	Yes	No	Yes
DNMT1	1786	4	Yes	Yes	No	Yes	Yes	No	No	Yes	No
KNL1	57082	1	No	No	No	No	No	No	No	No	Yes
DNMT3A	1788	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RAD17	5884	1	No	No	No	No	No	No	No	No	Yes
RAD21	5885	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
DNMT3B	1789	3	Yes	No	Yes	Yes	Yes	No	No	No	No
RAD51	5888	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
RAD51C	5889	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
RAD51B	5890	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
KLHL6	89857	2	No	No	No	No	No	Yes	Yes	No	No
RAD51D	5892	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
KRAS	3845	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
RAD52	5893	4	Yes	No	No	Yes	Yes	Yes	No	No	No
RAF1	5894	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
TFEB	7942	1	No	No	No	No	No	No	No	No	Yes
RALGDS	5900	2	No	No	No	No	No	No	Yes	No	Yes
RANBP2	5903	1	No	No	No	No	No	No	No	No	Yes
AKT3	10000	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
CYSLTR2	57105	4	Yes	No	No	Yes	Yes	No	No	No	Yes
FAT4	79633	1	No	No	No	No	No	No	No	No	Yes
RNF217-AS1	7955	1	No	No	No	No	No	No	Yes	No	No
RAP1GDS1	5910	2	No	No	No	No	No	No	Yes	No	Yes
ABI1	10006	2	No	No	No	No	No	No	Yes	No	Yes
RARA	5914	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
H3F3C	440093	3	Yes	No	No	Yes	Yes	No	No	No	No
ARID3A	1820	2	Yes	No	Yes	No	Yes	No	No	No	No
GOPC	57120	1	No	No	No	No	No	No	No	No	Yes
RASA1	5921	3	Yes	No	Yes	Yes	Yes	No	No	No	No
BCL2L11	10018	3	Yes	No	Yes	Yes	Yes	No	No	No	No
SH2B3	10019	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RB1	5925	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID4A	5926	2	Yes	No	Yes	No	Yes	No	No	No	No
KDM5A	5927	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
DTX1	1840	3	Yes	No	Yes	No	Yes	No	Yes	No	No
DUSP2	1844	1	No	No	No	No	No	No	Yes	No	No
DUSP4	1846	3	Yes	No	Yes	Yes	Yes	No	No	No	No
PARP2	10038	1	No	No	No	No	No	Yes	No	No	No
PARP3	10039	1	No	No	No	No	No	Yes	No	No	No
TUSC3	7991	1	No	No	No	No	No	No	Yes	No	No
KTN1	3895	1	No	No	No	No	No	No	No	No	Yes
PAK5	57144	3	Yes	Yes	No	Yes	Yes	No	No	No	No
KAT6A	7994	3	Yes	No	Yes	No	No	No	Yes	No	Yes
AFF3	3899	1	No	No	No	No	No	No	No	No	Yes
DUSP9	1852	1	No	No	No	No	No	No	Yes	No	No
VTCN1	79679	3	Yes	No	No	Yes	Yes	No	No	No	No
P2RY8	286530	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
MUC16	94025	1	No	No	No	No	No	No	No	No	Yes
RASGEF1A	221002	1	No	No	No	No	No	No	Yes	No	No
RECQL	5965	3	Yes	No	Yes	Yes	Yes	No	No	No	No
NR4A3	8013	3	Yes	Yes	No	No	No	No	Yes	No	Yes
ECT2L	345930	3	Yes	No	Yes	No	No	No	Yes	No	Yes
REL	5966	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
E2F3	1871	3	Yes	Yes	No	Yes	Yes	No	No	No	No
SALL4	57167	1	No	No	No	No	No	No	No	No	Yes
FANCL	55120	2	No	No	No	No	No	Yes	Yes	No	No
VTI1A	143187	1	No	No	No	No	No	No	No	No	Yes
BRD3	8019	1	No	No	No	No	No	No	No	No	Yes
NUP214	8021	2	No	No	No	No	No	No	Yes	No	Yes
EBF1	1879	2	No	No	No	No	No	No	Yes	No	Yes
LASP1	3927	2	No	No	No	No	No	No	Yes	No	Yes
UPF1	5976	3	Yes	No	No	Yes	Yes	No	No	No	No
REST	5978	1	No	No	No	Yes	No	No	No	No	No
RET	5979	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
MLLT10	8028	3	Yes	Yes	No	No	No	No	Yes	No	Yes
LCK	3932	3	Yes	Yes	No	No	Yes	No	No	No	Yes
CCDC6	8030	1	No	No	No	No	No	No	No	No	Yes
NCOA4	8031	1	No	No	No	No	No	No	No	No	Yes
LCP1	3936	2	No	No	No	No	No	No	Yes	No	Yes
FAM58A	92002	3	Yes	No	Yes	Yes	Yes	No	No	No	No
TRIM27	5987	1	No	No	No	No	No	No	No	No	Yes
SHOC2	8036	3	Yes	Yes	No	Yes	Yes	No	No	No	No
TBL1XR1	79718	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
PALB2	79728	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
RGS7	6000	1	No	No	No	No	No	No	No	No	Yes
SNX29	92017	2	No	No	No	No	No	No	Yes	No	Yes
FAM135B	51059	1	No	No	No	No	No	No	No	No	Yes
RFWD3	55159	1	No	No	No	No	No	No	No	No	Yes
ARHGEF10L	55160	1	No	No	No	No	No	No	No	No	Yes
RHEB	6009	3	Yes	Yes	No	Yes	Yes	No	No	No	No
SHQ1	55164	3	Yes	No	Yes	Yes	Yes	No	No	No	No
RAD50	10111	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
RIT1	6016	3	Yes	Yes	No	Yes	Yes	No	No	No	No
ESCO2	157570	2	Yes	No	Yes	No	Yes	No	No	No	No
LIFR	3977	1	No	No	No	No	No	No	No	No	Yes
FGF23	8074	2	No	No	No	No	No	Yes	Yes	No	No
SETDB2	83852	2	Yes	No	Yes	No	Yes	No	No	No	No
CHIC2	26511	2	No	No	No	No	No	No	Yes	No	Yes
KMT2D	8085	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PBRM1	55193	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AGO1	26523	1	No	No	No	Yes	No	No	No	No	No
ARFRP1	10139	2	No	No	No	No	No	Yes	Yes	No	No
HMGA2	8091	2	No	No	No	No	No	No	Yes	No	Yes
LATS2	26524	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
AKAP9	10142	1	No	No	No	No	No	No	No	No	Yes
LMNA	4000	1	No	No	No	No	No	No	No	No	Yes
APH1A	51107	1	No	No	No	No	No	No	Yes	No	No
EGFR	1956	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
LMO1	4004	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
LMO2	4005	3	Yes	Yes	No	No	No	No	Yes	No	Yes
EGR1	1958	2	Yes	No	Yes	No	Yes	No	No	No	No
SETD5	55209	2	Yes	No	No	No	Yes	No	No	No	No
EIF1AX	1964	4	Yes	No	No	Yes	Yes	No	No	No	Yes
ARID2	196528	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
SBDS	51119	1	No	No	No	No	No	No	No	No	Yes
FBXO31	79791	1	No	No	No	No	No	No	Yes	No	No
TCL1A	8115	3	Yes	Yes	No	No	No	No	Yes	No	Yes
EIF4A2	1974	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
EIF4E	1977	3	Yes	No	No	Yes	Yes	No	No	No	No
LPP	4026	2	No	No	No	No	No	No	Yes	No	Yes
MOB3B	79817	2	Yes	No	Yes	No	Yes	No	No	No	No
LHFPL6	10186	1	No	No	No	No	No	No	No	No	Yes
ROBO1	6091	2	Yes	No	Yes	No	Yes	No	No	No	No
ROBO2	6092	1	No	No	No	No	No	No	No	No	Yes
ELF3	1999	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes
SPRED1	161742	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ELF4	2000	2	No	No	No	No	No	No	Yes	No	Yes
YY1AP1	55249	1	No	No	No	No	No	No	Yes	No	No
LTB	4050	2	Yes	Yes	Yes	No	Yes	No	No	No	No
ROS1	6098	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
ELP2	55250	1	No	No	No	No	No	No	Yes	No	No
ASXL2	55252	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
TAF15	8148	2	No	No	No	No	No	No	Yes	No	Yes
ELK4	2005	1	No	No	No	No	No	No	No	No	Yes
ELN	2006	2	No	No	No	No	No	No	Yes	No	Yes
GREM1	26585	3	Yes	Yes	No	Yes	Yes	No	No	No	No
EGFL7	51162	3	Yes	No	No	Yes	Yes	No	No	No	No
LTK	4058	1	No	No	No	No	No	Yes	No	No	No
SPRTN	83932	2	Yes	No	Yes	Yes	No	No	No	No	No
STK40	83931	3	Yes	No	No	Yes	Yes	No	No	No	No
